MaVot,TenVot,ThuongHieu,Gia,TrinhDo,LoiChoi,TrongLuong,DoCung,HinhAnh
V001,Kumpoo PC-77,Kumpoo,459000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-kumpoo-pc-77-trang-hong-noi-dia-trung_1724896034.webp
V002,Kumpoo Flower Partner Pro,Kumpoo,690000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-kumpoo-flower-partner-pro-hong-chinh-hang_1733089544.webp
V003,Kumpoo Hexagon 2300 II – Daren,Kumpoo,2500000,Khá/ Giỏi,Công thủ toàn diện ,4U,Cứng,https://kumpoo.vn/uploads/images/hinh-anh-vot/vot-cau-long/2300-daren-ii/daren-1-.jpg
V004,Kumpoo Nebula Tinh Vân,Kumpoo,815000,Trung bình,Tấn công,5U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-kumpoo-nebula-tim-chinh-hang_1779655772.webp
V005,Kumpoo Pandora,Kumpoo,690000,Trung bình,Tấn công,5U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-kumpoo-pandora-hong-noi-dia-trung_1742841869.webp
V006,Kumpoo Lectra Like,Kumpoo,1750000,Khá/ Giỏi,Tấn công,4U,Trung bình,https://kumpoovietnam.com/wp-content/uploads/2025/04/Untitled-1651561556.jpg
V007,VS Titan 10,VS,600000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/images/vot-cau-long-vs-titan-10-xam.jpg
V008,VS YuTu 920,VS,699000,Trung bình,Công thủ toàn diện ,4U,Trung bình,https://hvshop.vn/wp-content/uploads/2024/04/vot-cau-long-vs-yutu-920-hong-chinh-hang.webp
V009,VS Titan 7,VS,680000,Trung bình,Phòng Thủ / Điều Cầu,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-vs-titan-7-xanh-ngoc-chinh-hang_1768417078.webp
V010,VS JingHong,VS,880000,Trung bình,Phòng Thủ / Điều Cầu,6U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/set-vot-cau-long-vs-jinhong-noi-dia-trung-1_1697678524.webp
V011,VS Youlong Pink,VS,1650000,Khá/ Giỏi,Tấn công,5U,Trung bình,https://venson.vn/wp-content/uploads/2025/04/3.webp
V012,VS Dragon Subduing II,VS,3600000,Khá/ Giỏi,Tấn công,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-vs-dragon-subduing-ii-chinh-hang_1770861472.webp
V013,Kawasaki 1700,Kawasaki,490000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-kawasaki-1700-1.webp
V014,Kawasaki Porcelain Q5,Kawasaki,1140000,Yếu,Công thủ toàn diện ,5U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-kawasaki-porcelain-q5-hong-chinh-hang.webp
V015,Kawasaki Blossom Pink,Kawasaki,1440000,Yếu,Phòng Thủ / Điều Cầu,5U,Dẻo,https://votcaulongshop.vn/wp-content/uploads/2025/12/Vot-Cau-Long-Kawasaki-Blossom-Sakura-6.jpg
V016,Kawasaki 6500,Kawasaki,1540000,Trung bình,Phòng Thủ / Điều Cầu,3U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-kawasaki-6500-1.webp
V017,Kawasaki Glacier,Kawasaki,800000,Trung bình,Tấn công,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-kawasaki-glacier-xanh-trang-chinh-hang_1709608556.webp
V018,Kawasaki TONALITY 8,Kawasaki,2900000,Khá/ Giỏi,Tấn công,4U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-kawasaki-tonality-8-1.webp
V019,Yonex GR303,Yonex,349000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-yonex-gr303-chinh-hang_1721767438.webp
V020,Yonex Astrox 01F 2024,Yonex,1009000,Yếu,Công thủ toàn diện ,4U,Dẻo,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-yonex-astrox-01f-2024-white-mint-chinh-hang_1731868931.webp
V021,Yonex Nanoflare 001F,Yonex,959000,Yếu,Phòng Thủ / Điều Cầu,5U,Dẻo,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-yonex-nanoflare-001f-chinh-hang-1.webp
V022,Yonex Astrox 88S Pro,Yonex,3979000,Khá/ Giỏi,Phòng Thủ / Điều Cầu,3U / 4U,Cứng,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-yonex-astrox-88s-pro-chinh-hang-1.webp
V023,Yonex Astrox 88D,Yonex,2839000,Trung bình,Tấn công,4U,Cứng,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-yonex-astrox-88d-2.webp
V024,Yonex Astrox 99 Pro,Yonex,4719000,Trung bình,Tấn công,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-yonex-astrox-99-pro-trang-chinh-hang-2.webp
V025,Yonex Astrox 77 Pro China Limited,Yonex,13500000,Khá/ Giỏi,Tấn công,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-yonex-astrox-77-pro-do-china-limited-noi-dia-trung_1724892181.webp
V026,Victor DX-3H 2025,Victor,1249000,Trung bình,Công thủ toàn diện ,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-victor-dx-3h-2025-chinh-hang_1737313212.webp
V027,Victor Thruster K 280,Victor,1000000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-victor-thruster-k-280-xanh-duong-noi-dia-trung_1724894732.webp
V028,Victor Auraspeed 100X Ultra G 2025,Victor,3700000,Trung bình,Phòng Thủ / Điều Cầu,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-victor-auraspeed-100x-ultra-g-2025-chinh-hang_1744255806.jpg
V029,Victor DriveX 12 WT25,Victor,4449000,Khá/ Giỏi,Phòng Thủ / Điều Cầu,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-victor-drivex-12-wt25-chinh-hang_1767120695.webp
V030,Victor Brave Sword 11R,Victor,470000,Trung bình,Tấn công,4U,Trung bình,https://caulong360.com/wp-content/uploads/2018/11/2-3-10-600x510.gif
V031,Victor Thruster Ryuga Muse F,Victor,3500000,Trung bình,Tấn công,5U,Trung bình cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-victor-thruster-ryuga-muse-f-chinh-hang_1775528851.webp
V032,Lining Axforce Cannon,Lining,980000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-lining-axforce-cannon-black-chinh-hang.webp
V033,Lining HC1000,Lining,1050000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-lining-hc1000-white-chinh-hang-1.webp
V034,Lining Bladex 800,Lining,4200000,Trung bình,Phòng Thủ / Điều Cầu,4U,Trung bình cứng,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-lining-bladex-800-chinh-hang-3.webp
V035,Lining Halbertec 4000,Lining,2070000,Trung bình,Phòng Thủ / Điều Cầu,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-lining-halbertec-4000-chinh-hang_1745521634.jpg
V036,Lining Bladex 880 Shida 2026,Lining,5880000,Khá/ Giỏi,Phòng Thủ / Điều Cầu,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-lining-bladex-880-shida-2026-chinh-hang_1778530937.webp
V037,Lining Tectonic 3,Lining,1499000,Yếu,Tấn công,5U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-lining-tectonic-3-chinh-hang-2.webp
V038,Lining Halbertec 9000 Power,Lining,5050000,Khá/ Giỏi,Tấn công,4U,Trung bình cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-lining-halbertec-9000-power-chinh-hang-1_1778888430.webp
V039,Mizuno Powerblade 597,Mizuno,1040000,Yếu,Công thủ toàn diện ,4U,Dẻo,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-mizuno-powerblade-597-xanh-trang-chinh-hang_1763327506.webp
V040,Mizuno Technoblade 531,Mizuno,790000,Yếu,Công thủ toàn diện ,3U,Trung bình,https://cdn.shopvnb.com/uploads/images/tin_tuc/vot-cau-long-mizuno-technoblade-531-1.webp
V041,Mizuno Altius 01 Feels,Mizuno,6900000,Trung bình,Phòng Thủ / Điều Cầu,3U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-mizuno-altius-01-feels-trang-xanh-chinh-hang.webp
V042,Mizuno Acrospeed 7,Mizuno,3150000,Yếu,Phòng Thủ / Điều Cầu,5U,Dẻo,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-mizuno-acrospeed-7-xanh-chinh-hang_1737071064.webp
V043,Mizuno Altius 5.3 Ryũjin,Mizuno,3640000,Trung bình,Tấn công,4U,Cứng,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-mizuno-altius-5-3-ryujin-bac-do-chinh-hang_1728702300.webp
V044,Mizuno JPX 8.2,Mizuno,1820000,Trung bình,Tấn công,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-mizuno-jpx-8-2-do-cam-xanh-den-chinh-hang_1745289043.webp
V045,Apacs One Malaysia,Apacs,687000,Yếu,Công thủ toàn diện ,4U,Trung bình,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-apacs-one-malaysia-trang-chinh-hang_1754105041.webp
V046,Apacs Sensuous 999,Apacs,1040000,Yếu,Công thủ toàn diện ,3U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-apacs-sensuous-999-1.webp
V047,Apacs Z-Power 800 RP+,Apacs,1000000,Yếu,Phòng Thủ / Điều Cầu,5U,Dẻo,https://cdn.shopvnb.com/uploads/gallery/vot-cau-long-apacs-z-power-800-rp-chinh-hang_1698628312.webp
V048,Apacs Edge Saber 10,Apacs,725000,Yếu,Phòng Thủ / Điều Cầu,4U,Trung bình,https://cdn.shopvnb.com/uploads/san_pham/vot-cau-long-apacs-edge-saber-10-red--1.webp
